iter	Passed	Remaining
0	139	138918
1	139	69704
2	140	46665
3	140	35106
4	141	28175
5	142	23606
6	143	20295
7	143	17810
8	144	15892
9	145	14360
10	145	13120
11	146	12090
12	147	11215
13	148	10453
14	149	9794
15	149	9206
16	150	8685
17	150	8222
18	151	7804
19	151	7429
20	152	7091
21	152	6783
22	153	6521
23	154	6266
24	154	6031
25	155	5814
26	155	5611
27	156	5422
28	156	5245
29	157	5081
30	157	4927
31	158	4783
32	158	4648
33	159	4521
34	159	4403
35	160	4291
36	161	4192
37	161	4095
38	162	3999
39	162	3906
40	163	3819
41	163	3736
42	164	3656
43	164	3580
44	165	3508
45	165	3438
46	166	3374
47	166	3310
48	167	3248
49	168	3193
50	168	3137
51	169	3083
52	169	3030
53	170	2979
54	170	2930
55	171	2884
56	171	2838
57	172	2794
58	172	2752
59	173	2712
60	173	2672
61	174	2633
62	174	2596
63	175	2562
64	176	2532
65	176	2499
66	177	2467
67	177	2434
68	178	2403
69	178	2372
70	179	2342
71	179	2315
72	180	2287
73	180	2259
74	181	2235
75	181	2210
76	182	2185
77	182	2163
78	183	2141
79	184	2119
80	184	2097
81	185	2076
82	186	2058
83	186	2038
84	187	2019
85	188	2000
86	188	1981
87	189	1961
88	189	1941
89	190	1925
90	191	1910
91	191	1894
92	192	1878
93	193	1863
94	193	1846
95	194	1830
96	194	1813
97	195	1796
98	195	1780
99	196	1765
100	196	1750
101	197	1735
102	197	1721
103	198	1706
104	198	1691
105	198	1677
106	199	1664
107	199	1651
108	200	1638
109	201	1627
110	201	1616
111	202	1605
112	203	1593
113	203	1584
114	204	1573
115	204	1561
116	205	1552
117	206	1543
118	207	1534
119	207	1524
120	208	1515
121	209	1508
122	210	1499
123	210	1489
124	211	1479
125	211	1469
126	212	1460
127	213	1452
128	213	1443
129	214	1434
130	214	1425
131	215	1416
132	215	1407
133	216	1398
134	216	1389
135	217	1380
136	217	1372
137	218	1364
138	218	1356
139	219	1350
140	220	1343
141	221	1338
142	222	1332
143	223	1325
144	223	1318
145	224	1311
146	224	1303
147	225	1296
148	225	1289
